0,28999999
1,9083187
2,5449912
3,3633274
4,116353
5,69812
6,46541
7,147466
8,88479
9,58986
10,61829
11,37097
12,24731
13,65955
14,39573
15,26382
16,32264
17,19358
18,12905
19,30524
20,18314
21,12209
25,1089982
26,653989
27,435992
28,66966
29,40179
30,26786
37,73712
38,44227
39,29484
43,115010
44,69006
45,46004
124,23723
125,14233
126,9489
600,2191
601,1314
602,876
1392,10740
1393,6444
1394,4296
1398,79131
1399,47478
1400,31652
1453,198155
1454,118893
1455,79262
1456,1945
1457,1167
1458,778
1507,952807
1508,571684
1509,381123
1510,358493
1511,215095
1512,143397
1685,180
1686,108
1687,72
1697,2652
1698,1591
1699,1061
1709,833
1710,499
1711,333
1753,4234
1754,2540
1755,1693
1765,11313
1766,6788
1767,4525
1783,64670
1784,38802
1785,25868
1810,398463
1811,239078
1812,159385
1813,167149
1814,100289
1815,66859
1816,34748
1817,20849
1818,13899
1873,59444
1874,35666
1875,23777
1876,229818
1877,137890
1878,91927
1897,20159
1898,12095
1899,8063
1911,217311
1912,130387
1913,86924
1915,19620
1916,11772
1917,7848
1924,42822
1925,25693
1926,17129
1942,57071
1943,34243
1944,22828
1966,1019
1967,611
1968,407
1986,9204
1987,5522
1988,3681
1992,1491
1993,894
1994,596
2027,18482
2028,11089
2029,7392
2043,9607
2044,5764
2045,3843
2046,27570
2047,16542
2048,11028
2052,122681
2053,73608
2054,49072
2082,14791
2083,8874
2084,5916
2100,115750
2101,69450
2102,46300
2110,3832
2111,2299
2112,1532
2122,38775
2123,23265
2124,15510
2284,5216
2285,3130
2286,2086
2949,1816637
2950,1089982
2951,726654
2965,9959842
2966,5975905
2967,3983937
2974,9626
2975,5776
2976,3850
3174,388458
3175,233075
3176,155383
3383,3633274
3384,2179964
3385,1453309
3412,3633274
3413,2179964
3414,1453309
3440,7687
3441,4612
3442,3074
3541,1839712
3542,1103827
3543,735884
3978,2122
3979,1273
3980,849
